2022-02-01 12:26:04,674 - INFO - api: 	{'Host': '192.168.29.197:5000', 'URL': 'http://192.168.29.197:5000/healthcheckup', 'Method': 'GET', 'Path': '/healthcheckup?'}
2022-02-01 12:28:22,705 - INFO - hello-api: 	{'Host': '192.168.29.197:5000', 'URL': 'http://192.168.29.197:5000/hello', 'Method': 'GET', 'Path': '/hello?'}
2022-02-01 13:22:13,935 - INFO - hello-api: 	{'Host': '192.168.29.197:5000', 'URL': 'http://192.168.29.197:5000/hello', 'Method': 'GET', 'Path': '/hello?'}
2022-02-01 14:47:36,348 - INFO - hello-api: 	{'Host': '192.168.29.197:5000', 'URL': 'http://192.168.29.197:5000/info', 'Method': 'GET', 'Path': '/info?'}
2022-02-01 14:47:43,174 - INFO - hello-api: 	{'Host': '192.168.29.197:5000', 'URL': 'http://192.168.29.197:5000/hello', 'Method': 'GET', 'Path': '/hello?'}
2022-02-01 14:55:19,186 - INFO - hello-api: 	{'Host': '192.168.29.197:5000', 'URL': 'http://192.168.29.197:5000/button3', 'Method': 'GET', 'Path': '/button3?'}
2022-02-01 14:55:22,492 - INFO - hello-api: 	{'Host': '192.168.29.197:5000', 'URL': 'http://192.168.29.197:5000/button4', 'Method': 'GET', 'Path': '/button4?'}
2022-02-01 14:56:02,892 - INFO - api: 	{'Host': '192.168.29.197:5000', 'URL': 'http://192.168.29.197:5000/button1', 'Method': 'GET', 'Path': '/button1?'}
2022-02-01 14:56:05,828 - INFO - api: 	{'Host': '192.168.29.197:5000', 'URL': 'http://192.168.29.197:5000/button2', 'Method': 'GET', 'Path': '/button2?'}
2022-02-01 16:41:33,674 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 16:42:42,101 - INFO - hello-api: 	{'Success': 'Button 4'}
2022-02-01 16:45:03,424 - INFO - api: 	{'Success': 'Button 1'}
2022-02-01 16:45:06,020 - INFO - api: 	{'Success': 'Button 2'}
2022-02-01 17:08:37,644 - INFO - api: 	{'Success': 'Button 1'}
2022-02-01 17:11:26,871 - INFO - api: 	{'Success': 'Button 1'}
2022-02-01 17:11:29,615 - INFO - api: 	{'Success': 'Button 2'}
2022-02-01 20:58:35,017 - INFO - api: 	{'Success': 'Button 2'}
2022-02-01 20:58:38,493 - INFO - api: 	{'Success': 'Button 1'}
2022-02-01 20:59:13,769 - INFO - api: 	{'Success': 'Button 1'}
2022-02-01 21:00:01,957 - INFO - api: 	{'Success': 'Button 1'}
2022-02-01 21:00:04,648 - INFO - api: 	{'Success': 'Button 2'}
2022-02-01 21:00:43,559 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 21:00:46,361 - INFO - hello-api: 	{'Success': 'Button 4'}
2022-02-01 21:10:13,966 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 21:10:33,128 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 21:11:35,407 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 21:11:35,412 - INFO - hello-api: 	{'Success': 'Button 4', 'Sucess': 'Button 3'}
2022-02-01 21:51:34,239 - INFO - hello-api: 	{'Success': 'Button 2'}
2022-02-01 21:51:38,669 - INFO - hello-api: 	{'Success': 'Button 2'}
2022-02-01 21:51:40,763 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 21:51:44,659 - INFO - hello-api: 	{'Success': 'Button 2'}
2022-02-01 21:55:40,245 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 21:56:09,344 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 21:56:09,350 - INFO - hello-api: 	{'Success': 'Button 4', 'Sucess': 'Button 3'}
2022-02-01 22:07:28,368 - INFO - hello-api: 	{'Success': 'Button 4'}
2022-02-01 22:08:56,907 - INFO - hello-api: 	{'Success': 'Button 4'}
2022-02-01 22:08:59,495 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 22:08:59,503 - INFO - hello-api: 	{'Success': 'Button 5', 'Sucess': 'Button 3'}
2022-02-01 22:12:14,093 - INFO - hello-api: 	{'Sucess': 'Button 3'}
2022-02-01 22:12:14,098 - INFO - hello-api: 	{'Success': 'Button 5', 'Sucess': 'Button 3'}
2022-02-01 22:24:38,239 - INFO - hello-api: 	{'Success': 'Button 4'}
2022-02-01 22:24:41,678 - INFO - hello-api: 	{'Success': 'Button 2'}
2022-02-01 22:27:14,463 - INFO - hello-api: 	{'Success': 'Button 4'}
2022-02-01 22:27:34,809 - INFO - hello-api: 	{'Success': 'Button 2'}
2022-02-01 22:34:26,580 - INFO - hello-api: 	{'Success': 'Button 4'}
2022-02-01 22:34:29,828 - INFO - hello-api: 	{'Success': 'Button 2'}
2022-02-01 22:35:33,854 - INFO - hello-api: 	{'Success': 'Button 2'}
2022-02-01 22:36:20,961 - INFO - hello-api: 	{'Success': 'Button 2'}
2022-02-01 22:43:52,881 - INFO - hello-api: 	{'Success': 'Button 2'}
2022-02-01 22:55:17,729 - INFO - hello-api: 	{'response': [{'Success': 'Button 5'}, {'Success': 'Button 2'}]}
2022-02-01 22:55:27,658 - INFO - hello-api: 	{'response': [{'Success': 'Button 5'}, {'Success': 'Button 2'}]}
2022-02-02 09:24:17,965 - INFO - api: 	{'Success': 'Button 1'}
2022-02-02 09:24:36,822 - INFO - api: 	{'Success': 'Button 2'}
2022-02-03 11:09:03,521 - INFO - hello-api: 	{'Sucess': 'Button 3'}
